Time Tag,Channel
61226,2
62838,2
62175,2
29397,2
28791,2
28362,2
126910,2
93498,2
62872,2
60550,2
93768,2
125925,2
31121,2
29812,2
93214,2
95378,2
62293,2
125424,2
29536,2
95777,2
30764,2
95068,2
125431,2
29362,2
93241,2
93485,2
94570,2
30762,2
60932,2
30951,2
29459,2
94896,2
30779,2
61160,2
62928,2
62215,2
93715,2
94158,2
31127,2
28965,2
31130,2
126953,2
31260,2
124943,2
63326,2
63640,2
60875,2
95494,2
61065,2
62628,2
61564,2
95084,2
93053,2
29820,2
125839,2
125149,2
29558,2
126807,2
95790,2
125748,2
126795,2
62151,2
61147,2
124782,2
127484,2
29147,2
126965,2
30077,2
63185,2
63663,2
30703,2
125564,2
127556,2
31662,2
60336,2
61748,2
61851,2
60296,2
31483,2
61283,2
126674,2
127257,2
94986,2
126958,2
125829,2
61893,2
61864,2
30845,2
30896,2
94137,2
126964,2
124509,2
63004,2
31493,2
30560,2
94016,2
95638,2
93409,2
29534,2
30970,2
31090,2
30841,2
61645,2
127842,2
31048,2
92344,2
127154,2
29659,2
92351,2
31355,2
125496,2
62712,2
63698,2
93447,2
60755,2
125583,2
93448,2
93354,2
125406,2
126586,2
31609,2
93564,2
93559,2
124352,2
62837,2
126062,2
95934,2
124337,2
92843,2
126749,2
127137,2
60089,2
54,2
63652,2
31621,2
62699,2
93710,2
127776,2
30959,2
63590,2
125030,2
125547,2
63651,2
61015,2
63394,2
95601,2
127012,2
93572,2
29517,2
93340,2
30730,2
125960,2
93065,2
63104,2
29008,2
61547,2
125528,2
29388,2
126410,2
125467,2
94806,2
63068,2
125497,2
29450,2
126321,2
29558,2
31546,2
127149,2
29375,2
95608,2
31400,2
124153,2
92567,2
30976,2
31043,2
29997,2
30623,2
29493,2
61398,2
29234,2
30688,2
31993,2
125210,2
124568,2
93591,2
29426,2
92808,2
28953,2
62744,2
62071,2
63928,2
124361,2
125485,2
92669,2
125489,2
28498,2
127470,2
95701,2
30907,2
93419,2
30653,2
62020,2
61983,2
127346,2
29473,2
62184,2
63409,2
93382,2
95570,2
125394,2
63457,2
64028,2
125460,2
125426,2
29369,2
95257,2
124653,2
62821,2
61711,2
124638,2
125991,2
63037,2
93381,2
63389,2
31429,2
30923,2
30136,2
94038,2
62561,2
94896,2
62598,2
95467,2
60279,2
29648,2
126982,2
94016,2
127172,2
127151,2
61200,2
127497,2
32659,2
94620,2
95823,2
127558,2
94309,2
95230,2
61579,2
126036,2
62921,2
93300,2
95126,2
62831,2
125598,2
126052,2
62897,2
31683,2
29136,2
126973,2
127018,2
126130,2
126126,2
95500,2
62075,2
93700,2
125136,2
63538,2
29598,2
30619,2
126881,2
60833,2
61310,2
93197,2
125906,2
95794,2
63634,2
127774,2
101,2
30380,2
126960,2
62753,2
125657,2
95100,2
63858,2
62942,2
30986,2
92013,2
127254,2
94847,2
94852,2
28802,2
29517,2
60710,2
95226,2
61191,2
29068,2
94322,2
63248,2
93496,2
94159,2
28950,2
94400,2
125998,2
31085,2
30053,2
125490,2
61372,2
95156,2
62718,2
60389,2
61821,2
127117,2
93250,2
30210,2
93392,2
28794,2
126459,2
126060,2
127525,2
125446,2
31045,2
93475,2
29772,2
30692,2
125090,2
127351,2
61559,2
32120,2
93566,2
95014,2
61696,2
127092,2
127021,2
63761,2
93572,2
125415,2
31098,2
125989,2
31561,2
125612,2
92970,2
29273,2
125428,2
93357,2
646,2
126573,2
31343,2
93840,2
61417,2
125993,2
126562,2
61358,2
29843,2
28145,2
61763,2
92837,2
61369,2
124604,2
29706,2
125439,2
126580,2
95768,2
62913,2
61498,2
28851,2
61669,2
29351,2
28892,2
126920,2
95106,2
29488,2
62912,2
125591,2
93090,2
93317,2
125418,2
95233,2
62945,2
30580,2
124514,2
94737,2
63674,2
125759,2
29929,2
29830,2
127487,2
126374,2
61392,2
29280,2
93845,2
61426,2
29340,2
125177,2
62562,2
95388,2
125061,2
29537,2
61681,2
125457,2
93622,2
30174,2
126895,2
30903,2
28813,2
729,2
94049,2
95492,2
127210,2
125099,2
31761,2
61547,2
126854,2
63189,2
60598,2
127617,2
94010,2
124952,2
92781,2
31203,2
60021,2
29237,2
30753,2
30760,2
29585,2
94710,2
62976,2
30513,2
125464,2
60898,2
93512,2
29511,2
61110,2
93363,2
94293,2
94986,2
63545,2
125484,2
63538,2
94121,2
125424,2
124692,2
95737,2
95039,2
94061,2
92720,2
28379,2
93413,2
127702,2
111,2
63166,2
125024,2
61169,2
62451,2
61207,2
31621,2
31059,2
63761,2
28426,2
61752,2
63015,2
29705,2
60549,2
31561,2
94466,2
61100,2
93575,2
62797,2
125546,2
126935,2
30843,2
31012,2
93428,2
62351,2
61532,2
61496,2
30775,2
29487,2
30803,2
62911,2
63464,2
30844,2
60098,2
127629,2
30881,2
125614,2
28411,2
61602,2
29557,2
124057,2
63824,2
127578,2
94137,2
60253,2
61902,2
94158,2
63002,2
29709,2
62916,2
95677,2
30048,2
29103,2
93462,2
94802,2
95344,2
61550,2
30336,2
92876,2
62846,2
28911,2
29413,2
29292,2
93267,2
30729,2
125000,2
94526,2
125625,2
62228,2
449,2
95995,2
126725,2
61269,2
63278,2
61633,2
95401,2
125667,2
95930,2
94091,2
126102,2
125041,2
31571,2
92962,2
94687,2
125797,2
126907,2
62383,2
127810,2
93579,2
28759,2
125452,2
62881,2
95070,2
61535,2
95836,2
94741,2
92925,2
62619,2
95465,2
63096,2
31116,2
94966,2
126004,2
29669,2
125955,2
60808,2
29400,2
63611,2
109,2
31489,2
30228,2
30981,2
61371,2
31414,2
64754,2
124214,2
93890,2
29788,2
126015,2
30433,2
61995,2
31129,2
95524,2
62881,2
93488,2
127690,2
29332,2
29368,2
61259,2
30840,2
29856,2
127011,2
63006,2
63368,2
126164,2
92743,2
61773,2
126822,2
126815,2
30818,2
64176,2
30691,2
95501,2
127027,2
94995,2
30712,2
63016,2
30797,2
30774,2
93676,2
125194,2
62853,2
736,2
127319,2
94683,2
30863,2
63075,2
28186,2
95045,2
125161,2
95538,2
127306,2
29365,2
30973,2
127866,2
126854,2
30828,2
63724,2
93894,2
61865,2
102,2
63813,2
126781,2
124374,2
61759,2
30244,2
62524,2
61673,2
93500,2
126354,2
92295,2
29299,2
93513,2
93097,2
29311,2
61628,2
125002,2
64705,2
95007,2
28020,2
93350,2
30626,2
64177,2
125466,2
95604,2
125559,2
29106,2
94742,2
63670,2
62995,2
62546,2
60925,2
93688,2
94406,2
124212,2
92886,2
124799,2
63000,2
30784,2
30160,2
125437,2
30824,2
96020,2
93142,2
96809,2
125451,2
29968,2
127086,2
93518,2
29366,2
62862,2
30969,2
31912,2
125094,2
29009,2
30550,2
29479,2
95019,2
62900,2
29558,2
125800,2
61233,2
61230,2
125633,2
28194,2
126123,2
31828,2
62875,2
62975,2
93441,2
29803,2
29577,2
30440,2
29528,2
63658,2
31640,2
94221,2
125290,2
94593,2
126990,2
29212,2
63086,2
29551,2
31682,2
62702,2
30917,2
127127,2
126284,2
95315,2
589,2
127926,2
28963,2
32135,2
28053,2
62541,2
126310,2
61323,2
127722,2
29503,2
31455,2
29917,2
61234,2
94897,2
60183,2
62889,2
124276,2
29523,2
62696,2
31678,2
94683,2
125954,2
125566,2
60873,2
125532,2
61688,2
126491,2
61447,2
29672,2
61474,2
62159,2
125562,2
94296,2
61326,2
61661,2
93588,2
95513,2
125740,2
126593,2
92049,2
127114,2
93724,2
31668,2
32686,2
61996,2
63277,2
94598,2
60954,2
62033,2
96099,2
31385,2
95452,2
92506,2
125086,2
95300,2
125543,2
125651,2
124971,2
29248,2
124476,2
125573,2
62932,2
92897,2
61888,2
124923,2
61511,2
